rho,T,B,rho_real,cvar_F,cvar_S,prize,pct_co,pct_cf,tail_red,mean_sac,mu_F,mu_S,resid,sec
1.5,72,24,1.5,123.52970896521563,124.91114634421024,1.3814373789946046,1.1059360348738292,1.1183037591253449,26.39869509704684,25.017257718052235,160.81926057658345,135.8020028585312,0.0,0.5006778240203857
1.5,96,32,1.5,172.16591538198293,173.31060526158296,1.1446898796000369,0.6604846125096163,0.6648760162894752,27.241493243272487,26.09680336367245,215.22112783861866,189.1243244749462,0.0,1.4280099868774414
1.5,144,48,1.5,271.11216678157086,271.9326967569919,0.8205299754210387,0.3017400942242306,0.3026533206390998,33.34524380330288,32.52471382788184,324.0219759105457,291.49726208266384,0.0,5.926745653152466
1.5,192,64,1.5,371.62893002637094,372.3589265239043,0.7299964975333637,0.19604646096392164,0.19643155808175722,45.25870004552689,44.52870354799353,432.8220579150201,388.29335436702655,0.0,20.627084970474243
1.5,288,96,1.5,575.3498177299476,575.9750860931825,0.625268363234909,0.10855823078669616,0.10867620775512118,49.434717596235714,48.809449233000805,650.4220661061958,601.612616873195,0.0,92.45616793632507
2.0,16,4,2.0,14.886371161210894,16.21183977581252,1.3254686146016272,8.17592964728888,8.903906803394591,7.439691480991739,6.1142228663901115,30.017372071552586,23.903149205162475,0.0,0.006072044372558594
2.0,24,6,2.0,27.324075137930695,29.05441823033977,1.7303430924090755,5.955524831683543,6.3326684752343185,12.144471663422397,10.414128571013322,46.52320812650504,36.10907955549172,0.0,0.013286828994750977
2.0,32,8,2.0,40.39842064707216,41.98435708798003,1.5859364409078722,3.7774460558833236,3.9257387182605408,16.50016251466438,14.91422607375651,63.18810097889208,48.27387490513557,0.0,0.02633500099182129
2.0,48,12,2.0,68.35460428956043,69.90116677799786,1.5465624884374307,2.212498817579434,2.26255788401021,19.813396928176743,18.266834439739313,96.73313529689095,78.46630085715164,0.0,0.07334184646606445
2.0,64,16,2.0,97.15026880182587,98.52439496992889,1.3741261681030181,1.394706527781695,1.4144337273076,22.31099599729167,20.93686982918865,130.4038478559222,109.46697802673356,0.0,0.1677558422088623
2.0,96,24,2.0,156.2381179468916,157.31222425642252,1.0741063095309187,0.682786296238556,0.6874803176367168,26.64901222305494,25.57490591352402,197.85598731925057,172.28108140572655,0.0,0.6714348793029785
2.0,128,32,2.0,216.602912157352,217.48398143891743,0.8810692815654306,0.40511916129919107,0.40676705257100815,30.70162244396448,29.82055316239905,265.31955860232614,235.4990054399271,0.0,1.8881850242614746
2.0,192,48,2.0,339.63614758445294,340.3589301345318,0.7227825500788754,0.212358920564589,0.21281084337442333,44.787219848419454,44.06443729834058,400.1363512186604,356.07191392031984,0.0,7.887563943862915
2.0,256,64,2.0,464.46346160386145,465.10066576122637,0.6372041573649199,0.1370034928507387,0.13719144992903404,45.62164168588964,44.98443752852472,534.8045711882089,489.8201336596842,0.0,27.46141815185547
2.0,384,96,2.0,717.2238195875523,717.8459166632379,0.6220970756855877,0.08666164440654349,0.08673681195408871,59.32243501052528,58.700337934839695,803.869521267597,745.1691833327573,0.0,123.57491302490234
